X,Y,Z,CU_pct,AU_gpt,DENSITY,Hole ID
445242.585667,493861.189753,2991.857834,0.14,0.58,3.12,WP003
445241.147481,493861.227413,2990.468517,0.09,0.64,3.11,WP003
445239.709294,493861.265074,2989.079200,0.18,1.76,3.09,WP003
445238.271142,493861.302733,2987.689848,0.09,0.52,3.09,WP003
445236.833227,493861.340386,2986.300250,0.28,1.27,3.13,WP003
445235.395585,493861.378032,2984.910370,0.54,1.3,3.14,WP003
445233.958215,493861.415671,2983.520208,0.31,1.05,3.17,WP003
445232.521117,493861.453303,2982.129764,0.32,0.66,3.16,WP003
445231.084291,493861.490927,2980.739039,0.52,0.57,3.15,WP003
445229.647738,493861.528545,2979.348032,0.49,0.38,3.09,WP003
445228.211457,493861.566155,2977.956744,0.25,4.3,3.14,WP003
445226.775448,493861.603758,2976.565175,0.23,2.38,3.09,WP003
445225.339713,493861.641354,2975.173324,0.31,1.83,3.11,WP003
445223.904249,493861.678943,2973.781192,0.42,3,3.13,WP003
445222.469058,493861.716525,2972.388778,0.36,1.7,3.14,WP003
445221.034140,493861.754100,2970.996083,0.52,3.25,3.13,WP003
445219.599495,493861.791667,2969.603108,0.89,3.46,3.11,WP003
445218.165123,493861.829227,2968.209851,0.5,2.25,3.15,WP003
445216.731023,493861.866781,2966.816313,0.89,1.67,3.17,WP003
445215.297196,493861.904327,2965.422494,0.87,1.83,3.21,WP003
445213.863643,493861.941866,2964.028394,0.31,4.54,3.15,WP003
445212.430362,493861.979397,2962.634013,0.23,2.47,3.29,WP003
445210.997354,493862.016922,2961.239352,1.04,3.92,3.24,WP003
445209.564620,493862.054440,2959.844409,0.75,5.07,3.29,WP003
445208.132158,493862.091950,2958.449186,0.72,3.18,3.11,WP003
445206.699970,493862.129453,2957.053682,0.73,1.36,3.14,WP003
445205.268055,493862.166949,2955.657898,1.78,2.32,3.3,WP003
445203.836414,493862.204438,2954.261833,0.39,5.14,3.13,WP003
445202.405046,493862.241920,2952.865488,0.61,3.21,3.17,WP003
445200.973951,493862.279394,2951.468862,0.65,1.93,3.17,WP003
445199.543130,493862.316862,2950.071955,0.72,1.51,3.2,WP003
445198.112583,493862.354322,2948.674769,0.53,1.2,3.2,WP003
445196.682309,493862.391775,2947.277302,0.66,1.42,3.17,WP003
445195.252308,493862.429221,2945.879555,0.47,2.02,3.19,WP003
445193.822582,493862.466659,2944.481527,0.67,1.62,3.19,WP003
445192.393129,493862.504091,2943.083220,0.6,3.51,3.16,WP003
445190.963950,493862.541515,2941.684633,0.49,2.86,3.12,WP003
445189.535045,493862.578932,2940.285765,0.49,1.84,3.16,WP003
445188.106414,493862.616342,2938.886617,0.64,1.73,3.14,WP003
445186.678057,493862.653745,2937.487190,0.77,1.24,3.14,WP003
445185.249974,493862.691141,2936.087483,1.34,1.71,3.14,WP003
445183.822165,493862.728529,2934.687496,0.88,0.94,3.04,WP003
445182.394631,493862.765911,2933.287229,0.61,1.61,3.15,WP003
445180.967370,493862.803285,2931.886682,1.18,1.29,3.15,WP003
445179.540384,493862.840652,2930.485856,1.25,1.1,3.19,WP003
445178.113672,493862.878012,2929.084750,1.46,1.47,3.17,WP003
445176.687235,493862.915364,2927.683365,0.89,1.02,3.17,WP003
445175.261072,493862.952710,2926.281700,0.97,1.32,3.19,WP003
445173.835183,493862.990048,2924.879756,1.45,4.11,3.25,WP003
445172.409569,493863.027379,2923.477532,0.89,3.02,3.16,WP003
445170.984230,493863.064703,2922.075029,1.16,4.14,3.21,WP003
445169.559165,493863.102019,2920.672247,0.88,2.76,3.19,WP003
445168.134375,493863.139329,2919.269185,0.91,2.05,3.17,WP003
445166.709860,493863.176631,2917.865845,0.55,1.25,3.21,WP003
445165.285619,493863.213926,2916.462225,0.78,2.33,3.06,WP003
445163.861654,493863.251214,2915.058326,0.88,1.56,3.17,WP003
445162.437963,493863.288495,2913.654148,1.14,1.63,3.16,WP003
445161.014548,493863.325768,2912.249692,1,0.89,3.17,WP003
445159.591407,493863.363034,2910.844956,1.16,1.08,3.2,WP003
445158.168542,493863.400293,2909.439942,0.26,0.63,3.02,WP003
445156.745951,493863.437545,2908.034648,0.18,0.99,3.05,WP003
445155.323636,493863.474790,2906.629076,0.09,0.61,3.01,WP003
445153.901596,493863.512027,2905.223226,0.09,0.75,2.98,WP003
445152.479832,493863.549257,2903.817096,0.22,0.34,3.01,WP003
445151.058343,493863.586480,2902.410689,0.16,0.33,3.05,WP003
445149.637129,493863.623696,2901.004002,0.1,0.28,3.05,WP003
445148.216191,493863.660905,2899.597037,0.13,0.74,3.07,WP003
445146.795528,493863.698106,2898.189794,0.13,0.8,3.05,WP003
445145.375141,493863.735300,2896.782273,0.59,0.95,3.22,WP003
445143.955029,493863.772487,2895.374473,0.84,1.17,3.14,WP003
445142.535194,493863.809667,2893.966395,0.87,1.3,3.19,WP003
445141.115634,493863.846839,2892.558038,1.17,1.57,3.21,WP003
445139.696349,493863.884005,2891.149404,1.22,0.59,3.2,WP003
445138.277341,493863.921163,2889.740491,0.99,0.33,3.21,WP003
445136.858609,493863.958313,2888.331301,0.89,0.78,3.17,WP003
445135.440152,493863.995457,2886.921832,1,2.12,3.2,WP003
445134.021972,493864.032593,2885.512086,0.61,0.42,3.2,WP003
445132.604067,493864.069723,2884.102061,0.67,1.4,3.2,WP003
445131.186439,493864.106844,2882.691759,0.72,2.3,3.16,WP003
445129.769087,493864.143959,2881.281179,1.42,1.43,3.15,WP003
445128.352011,493864.181067,2879.870322,0.81,3.55,3.17,WP003
445126.935212,493864.218167,2878.459186,0.56,3.89,3.2,WP003
445125.518689,493864.255260,2877.047773,0.58,1.87,3.19,WP003
445124.102442,493864.292345,2875.636083,0.57,1.16,3.22,WP003
445122.686472,493864.329424,2874.224115,0.46,1.07,3.22,WP003
445121.270778,493864.366495,2872.811870,0.61,1.33,3.19,WP003
445119.855361,493864.403559,2871.399347,0.56,0.65,3.2,WP003
445118.440220,493864.440616,2869.986547,0.55,0.87,3.2,WP003
445117.025356,493864.477665,2868.573470,1.2,1.64,3.17,WP003
445115.610769,493864.514708,2867.160115,1.1,1.04,3.21,WP003
445114.196459,493864.551743,2865.746483,1,1.05,3.22,WP003
445112.711732,493864.590622,2864.261873,0.88,0.97,3.2,WP003
445202.639073,493720.600521,3033.047969,0.38,1.86,,WP004
445201.229219,493720.489563,3031.633756,0.38,0.99,,WP004
445199.819365,493720.378605,3030.219542,0.64,0.67,,WP004
445198.409511,493720.267647,3028.805329,0.54,1.69,3.09,WP004
445196.999657,493720.156689,3027.391115,0.56,0.51,3.11,WP004
445195.589803,493720.045731,3025.976902,0.62,1.88,,WP004
445194.179949,493719.934774,3024.562688,0.78,2.77,,WP004
445192.770095,493719.823816,3023.148474,0.47,5.09,2.3,WP004
445191.360241,493719.712858,3021.734261,0.36,4.73,3.16,WP004
445189.950387,493719.601900,3020.320047,0.4,4.29,3.16,WP004
445188.540533,493719.490942,3018.905834,0.41,1.44,3.12,WP004
445187.130679,493719.379984,3017.491620,0.32,0.99,2.99,WP004
445185.720825,493719.269026,3016.077407,0.14,0.34,3.06,WP004
445184.310971,493719.158068,3014.663193,0.07,0.29,2.98,WP004
445182.901117,493719.047110,3013.248980,0.04,0.35,2.93,WP004
445181.491263,493718.936152,3011.834766,0.2,0.53,3.07,WP004
445180.081409,493718.825194,3010.420552,0.18,0.78,3.02,WP004
445178.671555,493718.714236,3009.006339,0.14,0.83,3.01,WP004
445177.261701,493718.603279,3007.592125,0.19,0.86,2.99,WP004
445175.851847,493718.492321,3006.177912,0.18,0.79,2.97,WP004
445174.441993,493718.381363,3004.763698,0.34,1.63,3.15,WP004
445173.032139,493718.270405,3003.349485,0.78,0.5,3.15,WP004
445171.622285,493718.159447,3001.935271,0.6,1.31,3.14,WP004
445170.212431,493718.048489,3000.521057,0.53,0.78,3.13,WP004
445168.802577,493717.937531,2999.106844,0.46,2.46,3.17,WP004
445167.392723,493717.826573,2997.692630,0.54,1.86,3.13,WP004
445165.982869,493717.715615,2996.278417,0.31,1.19,3.3,WP004
445164.573015,493717.604657,2994.864203,0.4,1.86,3.15,WP004
445163.163161,493717.493699,2993.449990,0.4,2.38,3.16,WP004
445161.753307,493717.382741,2992.035776,1.28,0.64,3.15,WP004
445160.343453,493717.271784,2990.621563,0.5,0.27,3.13,WP004
445158.933599,493717.160826,2989.207349,0.55,0.36,3.14,WP004
445157.523745,493717.049868,2987.793135,0.43,0.37,3.14,WP004
445156.113891,493716.938910,2986.378922,0.46,0.29,3.15,WP004
445154.704037,493716.827952,2984.964708,0.4,0.53,3.16,WP004
445153.294183,493716.716994,2983.550495,0.47,1.65,3.13,WP004
445151.884328,493716.606036,2982.136281,0.64,0.58,3.14,WP004
445150.474474,493716.495078,2980.722068,0.67,1.16,3.2,WP004
445149.064620,493716.384120,2979.307854,0.88,1.13,3.14,WP004
445147.654766,493716.273162,2977.893640,0.53,0.64,3.17,WP004
445146.244912,493716.162204,2976.479427,0.8,1.01,3.15,WP004
445144.835058,493716.051246,2975.065213,0.5,1.84,3.13,WP004
445143.425204,493715.940289,2973.651000,0.63,1.57,3.15,WP004
445142.015350,493715.829331,2972.236786,0.7,0.85,3.13,WP004
445140.605496,493715.718373,2970.822573,0.76,1.11,3.13,WP004
445139.195642,493715.607415,2969.408359,0.61,3.18,3.14,WP004
445137.785788,493715.496457,2967.994146,0.8,1.4,3.17,WP004
445136.375934,493715.385499,2966.579932,0.51,0.84,3.13,WP004
445134.966080,493715.274541,2965.165718,0.35,0.65,3.15,WP004
445133.556226,493715.163583,2963.751505,0.51,0.47,3.13,WP004
445132.146372,493715.052625,2962.337291,0.32,0.15,3.13,WP004
445130.736518,493714.941667,2960.923078,0.36,0.29,3.14,WP004
445129.326664,493714.830709,2959.508864,0.47,0.61,3.14,WP004
445127.916810,493714.719751,2958.094651,0.36,0.31,3.14,WP004
445126.506956,493714.608794,2956.680437,0.35,0.36,3.17,WP004
445125.097102,493714.497836,2955.266223,0.57,0.43,3.13,WP004
445123.687248,493714.386878,2953.852010,0.76,2.04,3.17,WP004
445122.277394,493714.275920,2952.437796,0.16,0.37,3.14,WP004
445120.867540,493714.164962,2951.023583,0.09,0.09,3.14,WP004
445119.457686,493714.054004,2949.609369,0.51,0.33,3.19,WP004
445118.047832,493713.943046,2948.195156,0.33,0.22,3.11,WP004
445116.637978,493713.832088,2946.780942,0.29,1.79,3.14,WP004
445115.228124,493713.721130,2945.366729,1.12,1.33,3.2,WP004
445113.818270,493713.610172,2943.952515,0.54,0.74,3.17,WP004
445112.408416,493713.499214,2942.538301,0.37,0.32,3.13,WP004
445110.998562,493713.388256,2941.124088,0.48,0.55,3.13,WP004
445109.588708,493713.277299,2939.709874,0.5,0.43,3.12,WP004
445108.178854,493713.166341,2938.295661,0.63,1.36,3.2,WP004
445106.769000,493713.055383,2936.881447,0.68,0.82,3.15,WP004
445105.359146,493712.944425,2935.467234,1.03,1.32,3.17,WP004
445103.949292,493712.833467,2934.053020,1.71,3.96,3.16,WP004
445102.539438,493712.722509,2932.638806,0.42,3.37,3.23,WP004
445101.129584,493712.611551,2931.224593,0.32,4.37,3.43,WP004
445099.719730,493712.500593,2929.810379,0.46,1.47,3.14,WP004
445098.309876,493712.389635,2928.396166,0.69,1.42,3.19,WP004
445096.900022,493712.278677,2926.981952,0.41,2.11,3.16,WP004
445095.490168,493712.167719,2925.567739,0.46,0.37,3.15,WP004
445094.080314,493712.056761,2924.153525,0.54,0.23,3.15,WP004
445092.670460,493711.945803,2922.739312,0.43,0.36,3.15,WP004
445091.260606,493711.834846,2921.325098,0.39,0.81,3.16,WP004
445089.850752,493711.723888,2919.910884,0.28,0.45,3.13,WP004
445088.440898,493711.612930,2918.496671,0.21,1.14,3.2,WP004
445087.031044,493711.501972,2917.082457,0.32,2.93,3.14,WP004
445085.621190,493711.391014,2915.668244,0.34,0.91,3.17,WP004
445084.211336,493711.280056,2914.254030,0.29,0.99,3.16,WP004
445082.801482,493711.169098,2912.839817,0.28,0.85,3.15,WP004
445081.391628,493711.058140,2911.425603,0.3,1.11,3.15,WP004
445079.981774,493710.947182,2910.011389,0.21,3.06,3.06,WP004
445078.571920,493710.836224,2908.597176,0.33,0.86,3.12,WP004
445077.162066,493710.725266,2907.182962,0.44,1.03,3.12,WP004
445075.752212,493710.614308,2905.768749,0.32,0.36,3.14,WP004
445074.342358,493710.503351,2904.354535,0.43,1.15,3.12,WP004
445072.932504,493710.392393,2902.940322,0.32,0.49,3.13,WP004
445071.522650,493710.281435,2901.526108,0.23,0.52,3.15,WP004
445070.112796,493710.170477,2900.111895,0.27,0.4,3.15,WP004
445068.702942,493710.059519,2898.697681,0.2,0.48,3.15,WP004
445067.293088,493709.948561,2897.283467,0.2,0.55,3.15,WP004
